cliente_codigo	codigo	codigocolaborador	datainicio	datalancamento	dataproximarevisao	datarenovacao	dataterminoprevisto	dataultimaatualizacao	diasporsemana	emrevisaoprofessor	genero	idoperacaoemmassa	isgeradoporia	nivel_codigo	nome	nrtreinosrealizados	predefinido	professorcarteira_codigo	professormontou_codigo	programatreinorenovacao	programatreinorenovado	situacao	totalaulasprevistas	treinorapido	versao	_chave
1802	12224		2023-05-01 00:00:00.0	2023-04-27 20:19:55.918	2023-05-08 00:00:00.0		2023-06-15 00:00:00.0		5						PROG 1105230000			125	51			0	32		26	b3c787b3459ac48df1921ab2f20c970
511	12111		2023-04-13 00:00:00.0	2023-04-13 13:55:48.957	2023-04-20 00:00:00.0		2023-05-25 00:00:00.0		5						Hipertrofia+Redução			123	123			0	30		2	b3c787b3459ac48df1921ab2f20c970
11327	12118		2023-04-14 00:00:00.0	2023-04-14 07:15:18.911	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		2						PROG 1404230715	4		123	123			0	12		50	b3c787b3459ac48df1921ab2f20c970
11551	12107		2023-04-12 00:00:00.0	2023-04-12 21:05:35.432	2023-04-19 00:00:00.0		2023-05-16 00:00:00.0		5						PROG 1204232105			97	98			0	24		25	b3c787b3459ac48df1921ab2f20c970
3530	12122		2023-04-14 00:00:00.0	2023-04-14 16:06:08.931	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		2						PROG 0807201454			125	125			0	12		2	b3c787b3459ac48df1921ab2f20c970
779	12202		2023-04-25 00:00:00.0	2023-04-25 14:21:26.743	2023-05-02 00:00:00.0		2023-06-06 00:00:00.0		5						HIPER/FEM 01/03	19		125	125			0	30		3	b3c787b3459ac48df1921ab2f20c970
11304	12098		2023-04-12 00:00:00.0	2023-04-12 06:07:37.967	2023-04-19 00:00:00.0		2023-05-24 00:00:00.0		5						PROG 1204230607			87	87			0	30		33	b3c787b3459ac48df1921ab2f20c970
11217	13776		2023-11-14 00:00:00.0	2023-11-14 06:39:36.773	2023-11-21 00:00:00.0		2023-12-26 00:00:00.0		5	false			false		TREINO			125	98			0	30		4	b3c787b3459ac48df1921ab2f20c970
10408	12160		2023-04-19 00:00:00.0	2023-04-19 06:47:59.89	2023-04-26 00:00:00.0		2023-05-31 00:00:00.0		2						PROG 1904230647	15		123	123			0	12		46	b3c787b3459ac48df1921ab2f20c970
11375	12127		2023-04-17 00:00:00.0	2023-04-17 09:32:44.079	2023-04-24 00:00:00.0		2023-05-29 00:00:00.0		2						PROG 1704230932	2		98	123			0	12		46	b3c787b3459ac48df1921ab2f20c970
85	12119		2023-04-14 00:00:00.0	2023-04-14 09:18:51.716	2023-04-21 00:00:00.0		2023-05-26 00:00:00.0		5						PROG 1404230918	22		87	123			0	30		16	b3c787b3459ac48df1921ab2f20c970
628	12215		2023-04-27 00:00:00.0	2023-04-27 06:33:16.23	2023-05-04 00:00:00.0		2023-06-16 00:00:00.0		5						hipertrofia	22		98	98			0	36		31	b3c787b3459ac48df1921ab2f20c970
10351	12163		2023-04-20 00:00:00.0	2023-04-20 06:16:00.56	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		5						Hipertrofia			87	87			0	30		2	b3c787b3459ac48df1921ab2f20c970
64	11888		2023-03-17 00:00:00.0	2023-03-17 06:11:29.165	2023-03-24 00:00:00.0		2023-04-12 00:00:00.0		5						Hiper+Reduç.	1		98	98			0	18		10	b3c787b3459ac48df1921ab2f20c970
700	12417		2023-05-19 00:00:00.0	2023-05-19 18:33:46.659	2023-05-26 00:00:00.0		2023-07-08 00:00:00.0		5						hipertrofia	1		98	98			0	36		29	b3c787b3459ac48df1921ab2f20c970
10872	11788		2023-03-06 00:00:00.0	2023-03-06 14:49:28.967	2023-03-13 00:00:00.0		2023-04-17 00:00:00.0		5						HIPER/FEM 01/03	7		125	125			0	30		15	b3c787b3459ac48df1921ab2f20c970
11537	12205		2023-04-26 00:00:00.0	2023-04-26 16:35:03.079	2023-05-03 00:00:00.0		2023-06-15 00:00:00.0		5						hipertrofia			98	125			0	36		21	b3c787b3459ac48df1921ab2f20c970
9503	11701		2023-03-01 00:00:00.0	2023-03-01 06:32:35.36	2023-03-08 00:00:00.0		2023-04-12 00:00:00.0		5						hipertrofia	4		98	98			0	30		49	b3c787b3459ac48df1921ab2f20c970
105	11785		2023-03-06 00:00:00.0	2023-03-06 13:31:21.704	2023-03-13 00:00:00.0		2023-04-17 00:00:00.0			false			false		HIPERTROFIA MASCULINO A/B/C  	9		123				0			48	b3c787b3459ac48df1921ab2f20c970
11602	12104		2023-04-12 00:00:00.0	2023-04-12 19:22:59.784	2023-04-19 00:00:00.0		2023-06-01 00:00:00.0		5						hipertrofia				51			0	36		19	b3c787b3459ac48df1921ab2f20c970
11859	13031		2023-08-03 00:00:00.0	2023-08-03 16:42:08.441	2023-08-10 00:00:00.0		2023-10-14 00:00:00.0		5	false			false		PROG 0308231642	21		97	97			0	51		29	b3c787b3459ac48df1921ab2f20c970
5551	11875		2023-03-16 00:00:00.0	2023-03-16 14:19:41.448	2023-03-23 00:00:00.0		2023-04-27 00:00:00.0		2						EMAGRECIMENTO E QUALIDADE DE VIDA Prof. Luzanira	7		125	125			0	12		20	b3c787b3459ac48df1921ab2f20c970
9665	12099		2023-04-12 00:00:00.0	2023-04-12 06:18:04.508	2023-04-19 00:00:00.0		2023-05-24 00:00:00.0		2						PROG 2402230711			123	123			0	12		2	b3c787b3459ac48df1921ab2f20c970
2172	12208		2023-04-26 00:00:00.0	2023-04-26 21:09:46.082	2023-05-03 00:00:00.0		2023-06-07 00:00:00.0		5						PROG 2604232109	7		97	97			0	30		26	b3c787b3459ac48df1921ab2f20c970
11145	12199		2023-04-20 00:00:00.0	2023-04-20 17:57:40.267	2023-04-27 00:00:00.0		2023-06-09 00:00:00.0		5						Hipertrofia	9		98	98			0	36		20	b3c787b3459ac48df1921ab2f20c970
277	1417		2017-01-27 00:00:00.0	2017-01-27 16:47:13.217	2017-02-03 00:00:00.0		2017-03-01 00:00:00.0		4						REDUZIR % DE GORDURA E DEFINIÇÃO MUSCULAR 			8	8			0	18		590	b3c787b3459ac48df1921ab2f20c970
10411	11464		2023-01-30 00:00:00.0	2023-01-30 18:02:17.128	2023-02-06 00:00:00.0		2023-04-28 00:00:00.0		5						PROG 3001231802	20			97			0	62		158	b3c787b3459ac48df1921ab2f20c970
9888	12168		2023-04-20 00:00:00.0	2023-04-20 06:45:50.99	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		2						HIPERTROFIA MASCULINO A/B/C  Prof. Luh			98	123			0	12		2	b3c787b3459ac48df1921ab2f20c970
10519	12225		2023-04-28 00:00:00.0	2023-04-28 06:10:29.879	2023-05-05 00:00:00.0		2023-06-09 00:00:00.0		5						hipertrofia			125	87			0	30		3	b3c787b3459ac48df1921ab2f20c970
11142	12175		2023-04-20 00:00:00.0	2023-04-20 15:48:38.933	2023-04-27 00:00:00.0		2023-06-01 00:00:00.0		2						EMAGRECIMENTO			125	125			0	12		2	b3c787b3459ac48df1921ab2f20c970
10062	12120		2023-04-14 00:00:00.0	2023-04-14 12:47:09.343	2023-04-21 00:00:00.0		2023-06-03 00:00:00.0		5						TREINO			125	98			0	36		5	b3c787b3459ac48df1921ab2f20c970
508	11996		2023-03-29 00:00:00.0	2023-03-29 10:46:11.207	2023-04-05 00:00:00.0		2023-05-18 00:00:00.0		5						hipertrofia	3		125	123			0	36		25	b3c787b3459ac48df1921ab2f20c970
4606	12204		2023-04-26 00:00:00.0	2023-04-26 06:14:41.218	2023-05-03 00:00:00.0		2023-06-07 00:00:00.0		2						PROG 1003230707	4		87	87			0	12		2	b3c787b3459ac48df1921ab2f20c970
1050	12158		2023-04-18 00:00:00.0	2023-04-18 17:34:25.68	2023-04-25 00:00:00.0		2023-06-07 00:00:00.0		5						Hipertrofia	30		98	125			0	36		31	b3c787b3459ac48df1921ab2f20c970
10287	12157		2023-04-18 00:00:00.0	2023-04-18 13:15:09.162	2023-04-25 00:00:00.0		2023-05-30 00:00:00.0		2						HIPERTROFIA MASCULINO A/B/C  Prof. Luzanira	38		125	123			0	12		45	b3c787b3459ac48df1921ab2f20c970
9696	12126		2023-04-17 00:00:00.0	2023-04-17 07:05:31.388	2023-04-24 00:00:00.0		2023-06-06 00:00:00.0		5						hipertrofia	28		98	123			0	36		25	b3c787b3459ac48df1921ab2f20c970
9688	12201		2023-04-24 00:00:00.0	2023-04-24 06:30:02.089	2023-05-01 00:00:00.0		2023-06-13 00:00:00.0		5						hipertrofia	7		98	123			0	36		24	b3c787b3459ac48df1921ab2f20c970
10743	12397		2023-05-19 00:00:00.0	2023-05-19 16:17:33.323	2023-05-26 00:00:00.0		2023-06-30 00:00:00.0		2						HIPERTROFIA FEMININO A/B/C			125	125			0	12		2	b3c787b3459ac48df1921ab2f20c970
11595	12125		2023-04-17 00:00:00.0	2023-04-17 06:32:21.667	2023-04-24 00:00:00.0		2023-06-06 00:00:00.0		5						HIPER/MASC	1		122	87			0	36		3	b3c787b3459ac48df1921ab2f20c970
64	12109		2023-04-13 00:00:00.0	2023-04-13 07:32:57.727	2023-04-20 00:00:00.0		2023-05-25 00:00:00.0		2						PROG 1304230732	35		87	123			0	12		52	b3c787b3459ac48df1921ab2f20c970
11524	12102		2023-04-12 00:00:00.0	2023-04-12 09:46:45.233	2023-04-19 00:00:00.0		2023-05-24 00:00:00.0		5						PROG 1204230946	2		97	51			0	30		25	b3c787b3459ac48df1921ab2f20c970
