client_id,fitness_goal,training_days,training_time,experience_level,body_type,age,recommended_challenges,completed_challenges,mean_rating,Philanthropist,Socialiser,Achiever,Player,Free Spirit,Disruptor
216,Emagrecimento,3,60,Intermediário,Feminino,32,"[16, 17]","[12, 19]",5.0,7.0,7.0,4.5,3.5,2.0,4.5
82,Hipertrofia,5,60,Intermediário,Feminino,21,"[14, 15, 20, 21, 22, 23]",[13],2.5,5.5,6.0,7.0,3.5,4.0,4.5
4208,Emagrecimento,3,60,Iniciante,Feminino,27,"[16, 17]",[20],3.0,6.0,5.5,3.5,5.0,3.5,4.0
9624,Emagrecimento,5,90,Iniciante,Feminino,20,"[14, 15, 20, 21, 22, 23]","[8, 23]",3.5,3.5,4.5,6.5,3.0,4.5,3.5
328154,Hipertrofia,4,40,Avançado,Feminino,33,"[14, 15, 20, 21, 22, 23]",[20],4.0,5.5,4.5,7.0,2.0,4.0,3.0
73451411,Hipertrofia,6,120,Avançado,Feminino,24,"[14, 15, 20, 21, 22, 23]","[10, 4]",3.0,4.0,4.0,6.5,4.5,5.5,4.0
136,Hipertrofia,2,60,Iniciante,Masculino,29,"[14, 15, 20, 21, 22, 23]",[17],4.0,5.5,5.0,6.5,2.5,5.0,3.0
53833,Hipertrofia,5,50,Avançado,Feminino,38,"[14, 15, 20, 21, 22, 23]","[4, 23]",3.0,5.0,4.5,7.0,3.5,3.5,3.0
3926,Hipertrofia,5,40,Intermediário,Feminino,42,"[14, 15, 20, 21, 22, 23]",[3],2.5,5.0,4.0,7.0,5.0,4.5,4.5
11024,Força,5,50,Iniciante,Feminino,17,"[14, 15, 20, 21, 22, 23]",[19],2.6666666666666665,4.0,5.0,6.0,3.5,5.0,3.0
1821,Emagrecimento,4,110,Intermediário,Feminino,33,"[14, 15, 20, 21, 22, 23]",[3],4.0,5.5,5.0,6.0,3.5,4.5,5.0
275483,Emagrecimento,5,120,Intermediário,Feminino,16,"[14, 15, 20, 21, 22, 23]",[23],3.5,4.5,4.0,6.0,3.5,5.5,3.5
