_chave,client_id,dominant_hexad,secondary_hexad,fitness_goal,training_days,training_time,experience_level,body_type,age,Philanthropist,Socialiser,Achiever,Player,Free Spirit,Disruptor,pred_dominant_hexad,pred_secondary_hexad
cb86a1477098d6746cfb23399031747b,216,Socialiser,Free Spirit,Emagrecimento,3,60,Intermediário,Feminino,32,7.0,7.0,4.5,3.5,2.0,4.5,Philanthropist,Socialiser
b50cbf6d8483efd6e9e7307abc3bd485,82,Achiever,Player,Hipertrofia,5,60,Intermediário,Feminino,21,5.5,6.0,7.0,3.5,4.0,4.5,Achiever,Socialiser
b63705a8cc952640438236edfecf0044,4208,Socialiser,Achiever,Emagrecimento,3,60,Iniciante,Feminino,27,6.0,5.5,3.5,5.0,3.5,4.0,Philanthropist,Socialiser
82bf9f93beaa045fde55d78f96b6abd0-1,9624,Achiever,Philanthropist,Emagrecimento,5,90,Iniciante,Feminino,20,3.5,4.5,6.5,3.0,4.5,3.5,Achiever,Socialiser
24f76f3d10e690809a26d615e4f929f4,328154,Achiever,Socialiser,Hipertrofia,4,40,Avançado,Feminino,33,5.5,4.5,7.0,2.0,4.0,3.0,Achiever,Philanthropist
89a45e18cd9d53d28af7df58584545af,73451411,Achiever,Socialiser,Hipertrofia,6,120,Avançado,Feminino,24,4.0,4.0,6.5,4.5,5.5,4.0,Achiever,Free Spirit
f48ef72b2343e9c167296f6f5cc6a7f0,136,Achiever,Free Spirit,Hipertrofia,2,60,Iniciante,Masculino,29,5.5,5.0,6.5,2.5,5.0,3.0,Achiever,Philanthropist
31964021c1aac5bbf1849d7a472cd51e,53833,Achiever,Philanthropist,Hipertrofia,5,50,Avançado,Feminino,38,5.0,4.5,7.0,3.5,3.5,3.0,Achiever,Philanthropist
64471d73fb946d17505cdbe368462526,3926,Achiever,Socialiser,Hipertrofia,5,40,Intermediário,Feminino,42,5.0,4.0,7.0,5.0,4.5,4.5,Achiever,Philanthropist
13c10a233166813beb7af8ed404d1404-1,11024,Achiever,Free Spirit,Força,5,50,Iniciante,Feminino,17,4.0,5.0,6.0,3.5,5.0,3.0,Achiever,Socialiser
d16e3b3d26bbb9931f8c58d3c2e0e58d,1821,Achiever,Disruptor,Emagrecimento,4,110,Intermediário,Feminino,33,5.5,5.0,6.0,3.5,4.5,5.0,Achiever,Philanthropist
24f76f3d10e690809a26d615e4f929f4,275483,Achiever,Philanthropist,Emagrecimento,5,120,Intermediário,Feminino,16,4.5,4.0,6.0,3.5,5.5,3.5,Achiever,Free Spirit
ce84bd0efc5cbf2e30cb60b53d1d6d0,14713,Achiever,Free Spirit,Hipertrofia,2,45,Intermediário,Feminino,15,4.0,5.0,5.5,4.5,3.0,3.0,Achiever,Socialiser
bc60a2120e39ef9781baf78223cd3c0d,2321,Achiever,Socialiser,Emagrecimento,5,40,Avançado,Feminino,58,4.5,3.0,6.0,4.0,5.0,4.5,Achiever,Free Spirit
7724bf6109e5370177c8129aa431b922-1,18587,Achiever,Free Spirit,Hipertrofia,5,60,Intermediário,Feminino,28,3.0,4.0,6.0,3.5,5.0,4.5,Achiever,Free Spirit
